  lx     lc     nlx     nlc     Ec_m 
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
-4.8934 -0.0582 -0.6833 0.0520 -5.6930
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-1.2917 -0.0403 -0.2001 0.0324 -1.4580
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
-0.3143 -0.0239 -0.0497 0.0167 -0.3537
